countryname,indicatorname,year_2017,target_groups
Costa Rica,"Survival to age 65, male (% of cohort)",82.8077220000,Extremely Happy
Costa Rica,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Extremely Happy
Costa Rica,Urban population (% of total population),78.5600000000,Extremely Happy
Croatia,"Birth rate, crude (per 1,000 people)",8.9000000000,Apathetic
Croatia,Employment in agriculture (% of total employment) (modeled ILO estimate),6.9790000920,Apathetic
Croatia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",5.1310000420,Apathetic
Croatia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",13.5080003700,Apathetic
Croatia,"Employment in services, female (% of female employment) (modeled ILO estimate)",81.3600006100,Apathetic
Croatia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",52.2249984700,Apathetic
Croatia,Fixed telephone subscriptions (per 100 people),33.5023167200,Apathetic
Croatia,GDP per capita (current US$),13412.3382900000,Apathetic
Croatia,GDP per capita growth (annual %),4.3848969850,Apathetic
Croatia,"Incidence of tuberculosis (per 100,000 people)",10.0000000000,Apathetic
Croatia,Individuals using the Internet (% of population),67.0961920400,Apathetic
Croatia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",51.6110000600,Apathetic
Croatia,"Life expectancy at birth, female (years)",80.9000000000,Apathetic
Croatia,"Life expectancy at birth, male (years)",74.9000000000,Apathetic
Croatia,"Life expectancy at birth, total (years)",77.8268292700,Apathetic
Croatia,Lifetime risk of maternal death (%),0.0110077310,Apathetic
Croatia,Mobile cellular subscriptions (per 100 people),103.1730226000,Apathetic
Croatia,"Mortality rate, infant (per 1,000 live births)",4.0000000000,Apathetic
Croatia,Net migration,-40004.0000000000,Apathetic
Croatia,Rural population (% of total population),43.3330000000,Apathetic
Croatia,Secure Internet servers (per 1 million people),14607.9639100000,Apathetic
Croatia,"Survival to age 65, female (% of cohort)",91.2651310000,Apathetic
Croatia,"Survival to age 65, male (% of cohort)",80.4086570000,Apathetic
Croatia,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Apathetic
Croatia,Urban population (% of total population),56.6670000000,Apathetic
Cyprus,"Birth rate, crude (per 1,000 people)",10.6680000000,Apathetic
Cyprus,Employment in agriculture (% of total employment) (modeled ILO estimate),2.5280001160,Apathetic
Cyprus,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.0779999490,Apathetic
Cyprus,"Employment in industry, female (% of female employment) (modeled ILO estimate)",6.9000000950,Apathetic
Cyprus,"Employment in services, female (% of female employment) (modeled ILO estimate)",92.0220031700,Apathetic
Cyprus,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",60.0499992400,Apathetic
Cyprus,Fixed telephone subscriptions (per 100 people),36.7092108300,Apathetic
Cyprus,GDP per capita (current US$),26338.6943400000,Apathetic
Cyprus,GDP per capita growth (annual %),3.3949920410,Apathetic
Cyprus,"Incidence of tuberculosis (per 100,000 people)",5.1000000000,Apathetic
Cyprus,Individuals using the Internet (% of population),80.7431889700,Apathetic
Cyprus,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",62.2879982000,Apathetic
Cyprus,"Life expectancy at birth, female (years)",82.7940000000,Apathetic
Cyprus,"Life expectancy at birth, male (years)",78.5470000000,Apathetic
Cyprus,"Life expectancy at birth, total (years)",80.6720000000,Apathetic
Cyprus,Lifetime risk of maternal death (%),0.0090529100,Apathetic
Cyprus,Mobile cellular subscriptions (per 100 people),136.1722981000,Apathetic
Cyprus,"Mortality rate, infant (per 1,000 live births)",2.0000000000,Apathetic
Cyprus,Net migration,25000.0000000000,Apathetic
Cyprus,Rural population (% of total population),33.1640000000,Apathetic
Cyprus,Secure Internet servers (per 1 million people),17364.0309200000,Apathetic
Cyprus,"Survival to age 65, female (% of cohort)",93.7773600000,Apathetic
Cyprus,"Survival to age 65, male (% of cohort)",88.6706250000,Apathetic
Cyprus,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Apathetic
Cyprus,Urban population (% of total population),66.8360000000,Apathetic
Czech Republic,"Birth rate, crude (per 1,000 people)",10.8000000000,Extremely Happy
Czech Republic,Employment in agriculture (% of total employment) (modeled ILO estimate),2.8029999730,Extremely Happy
Czech Republic,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.7890000340,Extremely Happy
Czech Republic,"Employment in industry, female (% of female employment) (modeled ILO estimate)",24.2180004100,Extremely Happy
Czech Republic,"Employment in services, female (% of female employment) (modeled ILO estimate)",73.9929962200,Extremely Happy
Czech Republic,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",67.1539993300,Extremely Happy
Czech Republic,Fixed telephone subscriptions (per 100 people),15.4129194600,Extremely Happy
Czech Republic,GDP per capita (current US$),20379.8960400000,Extremely Happy
Czech Republic,GDP per capita growth (annual %),4.0757663460,Extremely Happy
Czech Republic,"Incidence of tuberculosis (per 100,000 people)",5.4000000000,Extremely Happy
Czech Republic,Individuals using the Internet (% of population),78.7191614300,Extremely Happy
Czech Republic,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",60.4560012800,Extremely Happy
Czech Republic,"Life expectancy at birth, female (years)",82.0000000000,Extremely Happy
Czech Republic,"Life expectancy at birth, male (years)",76.1000000000,Extremely Happy
Czech Republic,"Life expectancy at birth, total (years)",78.9780487800,Extremely Happy
Czech Republic,Lifetime risk of maternal death (%),0.0055793310,Extremely Happy
Czech Republic,Mobile cellular subscriptions (per 100 people),118.7512323000,Extremely Happy
Czech Republic,"Mortality rate, infant (per 1,000 live births)",2.6000000000,Extremely Happy
Czech Republic,Net migration,110057.0000000000,Extremely Happy
Czech Republic,Rural population (% of total population),26.3250000000,Extremely Happy
Czech Republic,Secure Internet servers (per 1 million people),25419.9420500000,Extremely Happy
Czech Republic,"Survival to age 65, female (% of cohort)",91.1177280000,Extremely Happy
Czech Republic,"Survival to age 65, male (% of cohort)",82.5605360000,Extremely Happy
Czech Republic,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Czech Republic,Urban population (% of total population),73.6750000000,Extremely Happy
Denmark,"Birth rate, crude (per 1,000 people)",10.6000000000,Extremely Happy
Denmark,Employment in agriculture (% of total employment) (modeled ILO estimate),2.2100000380,Extremely Happy
Denmark,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.0099999900,Extremely Happy
Denmark,"Employment in industry, female (% of female employment) (modeled ILO estimate)",8.9569997790,Extremely Happy
Denmark,"Employment in services, female (% of female employment) (modeled ILO estimate)",90.0329971300,Extremely Happy
Denmark,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",62.3730011000,Extremely Happy
Denmark,Fixed telephone subscriptions (per 100 people),21.5300594500,Extremely Happy
Denmark,GDP per capita (current US$),57141.0598400000,Extremely Happy
Denmark,GDP per capita growth (annual %),1.3818217340,Extremely Happy
Denmark,"Incidence of tuberculosis (per 100,000 people)",5.1000000000,Extremely Happy
Denmark,Individuals using the Internet (% of population),97.0993621600,Extremely Happy
Denmark,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",62.0349998500,Extremely Happy
Denmark,"Life expectancy at birth, female (years)",83.1000000000,Extremely Happy
Denmark,"Life expectancy at birth, male (years)",79.2000000000,Extremely Happy
Denmark,"Life expectancy at birth, total (years)",81.1024390200,Extremely Happy
Denmark,Lifetime risk of maternal death (%),0.0061790200,Extremely Happy
Denmark,Mobile cellular subscriptions (per 100 people),124.4344914000,Extremely Happy
Denmark,"Mortality rate, infant (per 1,000 live births)",3.6000000000,Extremely Happy
Denmark,Net migration,75998.0000000000,Extremely Happy
Denmark,Rural population (% of total population),12.2430000000,Extremely Happy
Denmark,Secure Internet servers (per 1 million people),43757.8274300000,Extremely Happy
Denmark,"Survival to age 65, female (% of cohort)",91.1006400000,Extremely Happy
Denmark,"Survival to age 65, male (% of cohort)",86.0179290000,Extremely Happy
Denmark,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Denmark,Urban population (% of total population),87.7570000000,Extremely Happy
Djibouti,"Birth rate, crude (per 1,000 people)",21.9440000000,Moderately Sad
Djibouti,Employment in agriculture (% of total employment) (modeled ILO estimate),34.7430000300,Moderately Sad
Djibouti,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",32.8040008500,Moderately Sad
Djibouti,"Employment in industry, female (% of female employment) (modeled ILO estimate)",7.3949999810,Moderately Sad
Djibouti,"Employment in services, female (% of female employment) (modeled ILO estimate)",59.8009986900,Moderately Sad
Djibouti,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",61.9949989300,Moderately Sad
Djibouti,Fixed telephone subscriptions (per 100 people),3.8748055020,Moderately Sad
Djibouti,GDP per capita (current US$),2914.3838560000,Moderately Sad
Djibouti,GDP per capita growth (annual %),3.7301091960,Moderately Sad
Djibouti,"Incidence of tuberculosis (per 100,000 people)",272.0000000000,Moderately Sad
Djibouti,Individuals using the Internet (% of population),55.6814092500,Moderately Sad
Djibouti,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",60.3219986000,Moderately Sad
Djibouti,"Life expectancy at birth, female (years)",68.0230000000,Moderately Sad
Djibouti,"Life expectancy at birth, male (years)",64.0000000000,Moderately Sad
Djibouti,"Life expectancy at birth, total (years)",65.8930000000,Moderately Sad
Djibouti,Lifetime risk of maternal death (%),0.6912249260,Moderately Sad
Djibouti,Mobile cellular subscriptions (per 100 people),39.5140763800,Moderately Sad
Djibouti,"Mortality rate, infant (per 1,000 live births)",51.2000000000,Moderately Sad
Djibouti,Net migration,4501.0000000000,Moderately Sad
Djibouti,Rural population (% of total population),22.3520000000,Moderately Sad
Djibouti,Secure Internet servers (per 1 million people),22.2434771000,Moderately Sad
Djibouti,"Survival to age 65, female (% of cohort)",71.5977690000,Moderately Sad
Djibouti,"Survival to age 65, male (% of cohort)",63.9941740000,Moderately Sad
Djibouti,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Moderately Sad
Djibouti,Urban population (% of total population),77.6480000000,Moderately Sad
Dominican Republic,"Birth rate, crude (per 1,000 people)",19.7990000000,Apathetic
Dominican Republic,Employment in agriculture (% of total employment) (modeled ILO estimate),9.5769996640,Apathetic
Dominican Republic,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.3029999730,Apathetic
Dominican Republic,"Employment in industry, female (% of female employment) (modeled ILO estimate)",9.5850000380,Apathetic
Dominican Republic,"Employment in services, female (% of female employment) (modeled ILO estimate)",89.1119995100,Apathetic
Dominican Republic,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",74.4980011000,Apathetic
Dominican Republic,Fixed telephone subscriptions (per 100 people),12.6494706000,Apathetic
Dominican Republic,GDP per capita (current US$),7609.3387990000,Apathetic
Dominican Republic,GDP per capita growth (annual %),3.5179240030,Apathetic
Dominican Republic,"Incidence of tuberculosis (per 100,000 people)",46.0000000000,Apathetic
Dominican Republic,Individuals using the Internet (% of population),67.5712346800,Apathetic
Dominican Republic,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",64.1460037200,Apathetic
Dominican Republic,"Life expectancy at birth, female (years)",76.9900000000,Apathetic
Dominican Republic,"Life expectancy at birth, male (years)",70.6090000000,Apathetic
Dominican Republic,"Life expectancy at birth, total (years)",73.6890000000,Apathetic
Dominican Republic,Lifetime risk of maternal death (%),0.2466036010,Apathetic
Dominican Republic,Mobile cellular subscriptions (per 100 people),83.4113978100,Apathetic
Dominican Republic,"Mortality rate, infant (per 1,000 live births)",24.8000000000,Apathetic
Dominican Republic,Net migration,-150000.0000000000,Apathetic
Dominican Republic,Rural population (% of total population),19.7230000000,Apathetic
Dominican Republic,Secure Internet servers (per 1 million people),98.1629545000,Apathetic
Dominican Republic,"Survival to age 65, female (% of cohort)",81.3322400000,Apathetic
Dominican Republic,"Survival to age 65, male (% of cohort)",70.8792980000,Apathetic
Dominican Republic,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Apathetic
Dominican Republic,Urban population (% of total population),80.2770000000,Apathetic
Ecuador,"Birth rate, crude (per 1,000 people)",19.9680000000,Moderately Happy
Ecuador,Employment in agriculture (% of total employment) (modeled ILO estimate),27.6940002400,Moderately Happy
Ecuador,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",24.7670002000,Moderately Happy
Ecuador,"Employment in industry, female (% of female employment) (modeled ILO estimate)",11.1199998900,Moderately Happy
Ecuador,"Employment in services, female (% of female employment) (modeled ILO estimate)",64.1129989600,Moderately Happy
Ecuador,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",79.2910003700,Moderately Happy
Ecuador,Fixed telephone subscriptions (per 100 people),14.3887522000,Moderately Happy
Ecuador,GDP per capita (current US$),6213.5012760000,Moderately Happy
Ecuador,GDP per capita growth (annual %),0.5738771170,Moderately Happy
Ecuador,"Incidence of tuberculosis (per 100,000 people)",43.0000000000,Moderately Happy
Ecuador,Individuals using the Internet (% of population),57.2722436800,Moderately Happy
Ecuador,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",69.0719986000,Moderately Happy
Ecuador,"Life expectancy at birth, female (years)",79.4420000000,Moderately Happy
Ecuador,"Life expectancy at birth, male (years)",73.8330000000,Moderately Happy
Ecuador,"Life expectancy at birth, total (years)",76.5840000000,Moderately Happy
Ecuador,Lifetime risk of maternal death (%),0.1551411710,Moderately Happy
Ecuador,Mobile cellular subscriptions (per 100 people),87.2867971100,Moderately Happy
Ecuador,"Mortality rate, infant (per 1,000 live births)",12.5000000000,Moderately Happy
Ecuador,Net migration,182000.0000000000,Moderately Happy
Ecuador,Rural population (% of total population),36.3300000000,Moderately Happy
Ecuador,Secure Internet servers (per 1 million people),209.9448442000,Moderately Happy
Ecuador,"Survival to age 65, female (% of cohort)",85.5483460000,Moderately Happy
Ecuador,"Survival to age 65, male (% of cohort)",77.1038790000,Moderately Happy
Ecuador,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Moderately Happy
Ecuador,Urban population (% of total population),63.6700000000,Moderately Happy
Egypt,"Birth rate, crude (per 1,000 people)",27.0500000000,Moderately Sad
Egypt,Employment in agriculture (% of total employment) (modeled ILO estimate),25.0450000800,Moderately Sad
Egypt,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",36.9010009800,Moderately Sad
Egypt,"Employment in industry, female (% of female employment) (modeled ILO estimate)",6.8439998630,Moderately Sad
Egypt,"Employment in services, female (% of female employment) (modeled ILO estimate)",56.2550010700,Moderately Sad
Egypt,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",65.0770034800,Moderately Sad
Egypt,Fixed telephone subscriptions (per 100 people),6.8484773500,Moderately Sad
Egypt,GDP per capita (current US$),2440.5101730000,Moderately Sad
Egypt,GDP per capita growth (annual %),2.0255778580,Moderately Sad
Egypt,"Incidence of tuberculosis (per 100,000 people)",13.0000000000,Moderately Sad
Egypt,Individuals using the Internet (% of population),44.9502042500,Moderately Sad
Egypt,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",46.3909988400,Moderately Sad
Egypt,"Life expectancy at birth, female (years)",73.9670000000,Moderately Sad
Egypt,"Life expectancy at birth, male (years)",69.4530000000,Moderately Sad
Egypt,"Life expectancy at birth, total (years)",71.6560000000,Moderately Sad
Egypt,Lifetime risk of maternal death (%),0.1372198170,Moderately Sad
Egypt,Mobile cellular subscriptions (per 100 people),106.7559394000,Moderately Sad
Egypt,"Mortality rate, infant (per 1,000 live births)",18.7000000000,Moderately Sad
Egypt,Net migration,-190164.0000000000,Moderately Sad
Egypt,Rural population (% of total population),57.2950000000,Moderately Sad
Egypt,Secure Internet servers (per 1 million people),36.1873306300,Moderately Sad
Egypt,"Survival to age 65, female (% of cohort)",81.0396610000,Moderately Sad
Egypt,"Survival to age 65, male (% of cohort)",70.6714970000,Moderately Sad
Egypt,"Tuberculosis case detection rate (%, all forms)",64.0000000000,Moderately Sad
Egypt,Urban population (% of total population),42.7050000000,Moderately Sad
El Salvador,"Birth rate, crude (per 1,000 people)",18.4290000000,Moderately Happy
El Salvador,Employment in agriculture (% of total employment) (modeled ILO estimate),18.5750007600,Moderately Happy
El Salvador,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",3.9639999870,Moderately Happy
El Salvador,"Employment in industry, female (% of female employment) (modeled ILO estimate)",18.0739994000,Moderately Happy
El Salvador,"Employment in services, female (% of female employment) (modeled ILO estimate)",77.9619979900,Moderately Happy
El Salvador,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",72.3199996900,Moderately Happy
El Salvador,Fixed telephone subscriptions (per 100 people),14.5337302400,Moderately Happy
El Salvador,GDP per capita (current US$),3910.2571930000,Moderately Happy
El Salvador,GDP per capita growth (annual %),1.7380780600,Moderately Happy
El Salvador,"Incidence of tuberculosis (per 100,000 people)",72.0000000000,Moderately Happy
El Salvador,Individuals using the Internet (% of population),33.8207289000,Moderately Happy
El Salvador,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",59.1940002400,Moderately Happy
El Salvador,"Life expectancy at birth, female (years)",77.4170000000,Moderately Happy
El Salvador,"Life expectancy at birth, male (years)",68.0060000000,Moderately Happy
El Salvador,"Life expectancy at birth, total (years)",72.8720000000,Moderately Happy
El Salvador,Lifetime risk of maternal death (%),0.1037120920,Moderately Happy
El Salvador,Mobile cellular subscriptions (per 100 people),148.3697097000,Moderately Happy
El Salvador,"Mortality rate, infant (per 1,000 live births)",12.2000000000,Moderately Happy
El Salvador,Net migration,-202694.0000000000,Moderately Happy
El Salvador,Rural population (% of total population),28.7250000000,Moderately Happy
El Salvador,Secure Internet servers (per 1 million people),61.5204280700,Moderately Happy
El Salvador,"Survival to age 65, female (% of cohort)",83.5707080000,Moderately Happy
El Salvador,"Survival to age 65, male (% of cohort)",65.3210680000,Moderately Happy
El Salvador,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Moderately Happy
El Salvador,Urban population (% of total population),71.2750000000,Moderately Happy
Estonia,"Birth rate, crude (per 1,000 people)",10.5000000000,Apathetic
Estonia,Employment in agriculture (% of total employment) (modeled ILO estimate),3.5260000230,Apathetic
Estonia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.9199999570,Apathetic
Estonia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",17.3430004100,Apathetic
Estonia,"Employment in services, female (% of female employment) (modeled ILO estimate)",80.7379989600,Apathetic
Estonia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",67.0429992700,Apathetic
Estonia,Fixed telephone subscriptions (per 100 people),27.4457893400,Apathetic
Estonia,GDP per capita (current US$),20388.2095500000,Apathetic
Estonia,GDP per capita growth (annual %),5.6208488220,Apathetic
Estonia,"Incidence of tuberculosis (per 100,000 people)",15.0000000000,Apathetic
Estonia,Individuals using the Internet (% of population),88.1024568700,Apathetic
Estonia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",63.7579994200,Apathetic
Estonia,"Life expectancy at birth, female (years)",82.6000000000,Apathetic
Estonia,"Life expectancy at birth, male (years)",73.8000000000,Apathetic
Estonia,"Life expectancy at birth, total (years)",78.0926829300,Apathetic
Estonia,Lifetime risk of maternal death (%),0.0145549660,Apathetic
Estonia,Mobile cellular subscriptions (per 100 people),144.3413244000,Apathetic
Estonia,"Mortality rate, infant (per 1,000 live births)",2.2000000000,Apathetic
Estonia,Net migration,19555.0000000000,Apathetic
Estonia,Rural population (% of total population),31.2830000000,Apathetic
Estonia,Secure Internet servers (per 1 million people),29131.2176300000,Apathetic
Estonia,"Survival to age 65, female (% of cohort)",90.7511180000,Apathetic
Estonia,"Survival to age 65, male (% of cohort)",76.4570040000,Apathetic
Estonia,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Apathetic
Estonia,Urban population (% of total population),68.7170000000,Apathetic
Ethiopia,"Birth rate, crude (per 1,000 people)",32.7750000000,Moderately Sad
Ethiopia,Employment in agriculture (% of total employment) (modeled ILO estimate),67.3460006700,Moderately Sad
Ethiopia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",59.5470008900,Moderately Sad
Ethiopia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",9.5790004730,Moderately Sad
Ethiopia,"Employment in services, female (% of female employment) (modeled ILO estimate)",30.8740005500,Moderately Sad
Ethiopia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",84.8450012200,Moderately Sad
Ethiopia,Fixed telephone subscriptions (per 100 people),1.1099631990,Moderately Sad
Ethiopia,GDP per capita (current US$),768.5223076000,Moderately Sad
Ethiopia,GDP per capita growth (annual %),6.6845025450,Moderately Sad
Ethiopia,"Incidence of tuberculosis (per 100,000 people)",164.0000000000,Moderately Sad
Ethiopia,Individuals using the Internet (% of population),18.6180514500,Moderately Sad
Ethiopia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",79.6750030500,Moderately Sad
Ethiopia,"Life expectancy at birth, female (years)",67.7840000000,Moderately Sad
Ethiopia,"Life expectancy at birth, male (years)",63.9970000000,Moderately Sad
Ethiopia,"Life expectancy at birth, total (years)",65.8720000000,Moderately Sad
Ethiopia,Lifetime risk of maternal death (%),1.8141745500,Moderately Sad
Ethiopia,Mobile cellular subscriptions (per 100 people),37.2180717000,Moderately Sad
Ethiopia,"Mortality rate, infant (per 1,000 live births)",40.6000000000,Moderately Sad
Ethiopia,Net migration,150002.0000000000,Moderately Sad
Ethiopia,Rural population (% of total population),79.6900000000,Moderately Sad
Ethiopia,Secure Internet servers (per 1 million people),0.7142855530,Moderately Sad
Ethiopia,"Survival to age 65, female (% of cohort)",70.3807500000,Moderately Sad
Ethiopia,"Survival to age 65, male (% of cohort)",63.2888880000,Moderately Sad
Ethiopia,"Tuberculosis case detection rate (%, all forms)",67.0000000000,Moderately Sad
Ethiopia,Urban population (% of total population),20.3100000000,Moderately Sad
Finland,"Birth rate, crude (per 1,000 people)",9.1000000000,Extremely Happy
Finland,Employment in agriculture (% of total employment) (modeled ILO estimate),3.7630000110,Extremely Happy
Finland,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",2.1519999500,Extremely Happy
Finland,"Employment in industry, female (% of female employment) (modeled ILO estimate)",8.5509996410,Extremely Happy
Finland,"Employment in services, female (% of female employment) (modeled ILO estimate)",89.2969970700,Extremely Happy
Finland,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",56.9599990800,Extremely Happy
Finland,Fixed telephone subscriptions (per 100 people),6.8585475370,Extremely Happy
Finland,GDP per capita (current US$),46316.7454600000,Extremely Happy
Finland,GDP per capita growth (annual %),2.8587210340,Extremely Happy
Finland,"Incidence of tuberculosis (per 100,000 people)",4.9000000000,Extremely Happy
Finland,Individuals using the Internet (% of population),87.4689290700,Extremely Happy
Finland,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.7319984400,Extremely Happy
Finland,"Life expectancy at birth, female (years)",84.5000000000,Extremely Happy
Finland,"Life expectancy at birth, male (years)",78.9000000000,Extremely Happy
Finland,"Life expectancy at birth, total (years)",81.6317073200,Extremely Happy
Finland,Lifetime risk of maternal death (%),0.0047801930,Extremely Happy
Finland,Mobile cellular subscriptions (per 100 people),129.9132285000,Extremely Happy
Finland,"Mortality rate, infant (per 1,000 live births)",1.5000000000,Extremely Happy
Finland,Net migration,70000.0000000000,Extremely Happy
Finland,Rural population (% of total population),14.6750000000,Extremely Happy
Finland,Secure Internet servers (per 1 million people),22324.1145000000,Extremely Happy
Finland,"Survival to age 65, female (% of cohort)",92.8834930000,Extremely Happy
Finland,"Survival to age 65, male (% of cohort)",85.0703070000,Extremely Happy
Finland,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Finland,Urban population (% of total population),85.3250000000,Extremely Happy
France,"Birth rate, crude (per 1,000 people)",11.5000000000,Extremely Happy
France,Employment in agriculture (% of total employment) (modeled ILO estimate),2.6289999490,Extremely Happy
France,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.6009999510,Extremely Happy
France,"Employment in industry, female (% of female employment) (modeled ILO estimate)",9.9090003970,Extremely Happy
France,"Employment in services, female (% of female employment) (modeled ILO estimate)",88.4899978600,Extremely Happy
France,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",54.5940017700,Extremely Happy
France,Fixed telephone subscriptions (per 100 people),59.7262514900,Extremely Happy
France,GDP per capita (current US$),38812.1610300000,Extremely Happy
France,GDP per capita growth (annual %),2.0768224800,Extremely Happy
France,"Incidence of tuberculosis (per 100,000 people)",9.0000000000,Extremely Happy
France,Individuals using the Internet (% of population),80.5024597200,Extremely Happy
France,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",55.2210006700,Extremely Happy
France,"Life expectancy at birth, female (years)",85.7000000000,Extremely Happy
France,"Life expectancy at birth, male (years)",79.6000000000,Extremely Happy
France,"Life expectancy at birth, total (years)",82.5756097600,Extremely Happy
France,Lifetime risk of maternal death (%),0.0138718760,Extremely Happy
France,Mobile cellular subscriptions (per 100 people),106.4394347000,Extremely Happy
France,"Mortality rate, infant (per 1,000 live births)",3.4000000000,Extremely Happy
France,Net migration,182636.0000000000,Extremely Happy
France,Rural population (% of total population),19.8200000000,Extremely Happy
France,Secure Internet servers (per 1 million people),14831.3648400000,Extremely Happy
France,"Survival to age 65, female (% of cohort)",92.3436520000,Extremely Happy
France,"Survival to age 65, male (% of cohort)",84.8907980000,Extremely Happy
France,"Tuberculosis case detection rate (%, all forms)",83.0000000000,Extremely Happy
France,Urban population (% of total population),80.1800000000,Extremely Happy
Gabon,"Birth rate, crude (per 1,000 people)",32.1610000000,Moderately Sad
Gabon,Employment in agriculture (% of total employment) (modeled ILO estimate),33.8810005200,Moderately Sad
Gabon,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",49.6040000900,Moderately Sad
Gabon,"Employment in industry, female (% of female employment) (modeled ILO estimate)",2.7530000210,Moderately Sad
Gabon,"Employment in services, female (% of female employment) (modeled ILO estimate)",47.6430015600,Moderately Sad
Gabon,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",52.3030014000,Moderately Sad
Gabon,Fixed telephone subscriptions (per 100 people),1.0284174480,Moderately Sad
Gabon,GDP per capita (current US$),7230.3963930000,Moderately Sad
Gabon,GDP per capita growth (annual %),-2.2915757380,Moderately Sad
Gabon,"Incidence of tuberculosis (per 100,000 people)",529.0000000000,Moderately Sad
Gabon,Individuals using the Internet (% of population),62.0000000000,Moderately Sad
Gabon,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",52.2669982900,Moderately Sad
Gabon,"Life expectancy at birth, female (years)",67.8830000000,Moderately Sad
Gabon,"Life expectancy at birth, male (years)",63.8790000000,Moderately Sad
Gabon,"Life expectancy at birth, total (years)",65.8390000000,Moderately Sad
Gabon,Lifetime risk of maternal death (%),1.0726991340,Moderately Sad
Gabon,Mobile cellular subscriptions (per 100 people),128.9816609000,Moderately Sad
Gabon,"Mortality rate, infant (per 1,000 live births)",33.7000000000,Moderately Sad
Gabon,Net migration,16301.0000000000,Moderately Sad
Gabon,Rural population (% of total population),11.0240000000,Moderately Sad
Gabon,Secure Internet servers (per 1 million people),28.0895747500,Moderately Sad
Gabon,"Survival to age 65, female (% of cohort)",71.2353790000,Moderately Sad
Gabon,"Survival to age 65, male (% of cohort)",63.0796580000,Moderately Sad
Gabon,"Tuberculosis case detection rate (%, all forms)",48.0000000000,Moderately Sad
Gabon,Urban population (% of total population),88.9760000000,Moderately Sad
Gambia,"Birth rate, crude (per 1,000 people)",38.9670000000,Moderately Sad
Gambia,Employment in agriculture (% of total employment) (modeled ILO estimate),28.4799995400,Moderately Sad
Gambia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",34.7369995100,Moderately Sad
Gambia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",4.0130000110,Moderately Sad
